"","x","y","land","built_s","built_v","pop","smod_10","smod_11","smod_12","smod_13","smod_21","smod_22","smod_23","smod_30"
"1",279000,1519000,1e+06,918.01,2296.19,2754.75197577477,0,91,8,1,0,0,0,0
"2",249000,1509000,997028.34,4.84,12.14,14.6026835776866,0,100,0,0,0,0,0,0
"3",259000,1509000,999813,1.82,4.55,5.46770909428596,0,100,0,0,0,0,0,0
"4",269000,1509000,999934.74,0.2,0.5,0.600847125053406,0,100,0,0,0,0,0,0
"5",279000,1509000,1e+06,140.01,350.33,419.956108376383,0,99,1,0,0,0,0,0
"6",289000,1509000,999807.97,1343.93,3361.71,4022.80385750905,0,83,16,1,0,0,0,0
"7",249000,1499000,1e+06,8.85,22.2,26.6776134707034,0,100,0,0,0,0,0,0
"8",259000,1499000,1e+06,4.12,10.34,12.425518989563,0,100,0,0,0,0,0,0
"9",269000,1499000,1e+06,2.85,7.15,8.59211415052414,0,100,0,0,0,0,0,0
"10",279000,1499000,1e+06,1.44,3.64,4.37416722625494,0,100,0,0,0,0,0,0
"11",289000,1499000,998781,316.19,791.5,934.377398636192,0,94,6,0,0,0,0,0
"12",299000,1499000,991239.78,2369.6,5926.58,7090.56114824489,0,75,21,4,0,0,0,0
"13",249000,1489000,1e+06,12.63,31.73,38.1297602318227,0,100,0,0,0,0,0,0
"14",259000,1489000,1e+06,4.96,12.43,14.9370601922274,0,100,0,0,0,0,0,0
"15",269000,1489000,1e+06,1.25,3.13,3.76130318641663,0,100,0,0,0,0,0,0
"16",279000,1489000,1e+06,0.11,0.28,0.336474388837814,0,100,0,0,0,0,0,0
"17",289000,1489000,999399.64,5.6,14.03,16.8597708642483,0,100,0,0,0,0,0,0
"18",299000,1489000,1e+06,203.13,508.74,611.349954888224,0,98,2,0,0,0,0,0
"19",309000,1489000,994881.57,4340.71,17165.3,20579.1830443852,0,86,6,2,1,0,5,0
"20",249000,1479000,1e+06,8.89,22.3,26.7977828122675,0,100,0,0,0,0,0,0
"21",259000,1479000,1e+06,0,0,0,0,100,0,0,0,0,0,0
"22",269000,1479000,1e+06,1.88,4.72,5.67199707031251,0,100,0,0,0,0,0,0
"23",279000,1479000,1e+06,1.97,4.95,5.9483866430819,0,100,0,0,0,0,0,0
"24",289000,1479000,1e+06,0.49,1.23,1.47808396816254,0,100,0,0,0,0,0,0
"25",299000,1479000,998885.42,11.54,28.94,24.7242622002959,0,100,0,0,0,0,0,0
"26",309000,1479000,997573.85,1215.53,3041.59,2461.70553589612,0,87,13,0,0,0,0,0
"27",319000,1479000,952857.76,5466.3,19075.15,21112.9124781229,0,74,17,7,0,0,2,0
"28",239000,1469000,997608.01,82.25,205.83,237.968272425235,0,98,2,0,0,0,0,0
"29",249000,1469000,1e+06,11.26,28.21,33.8997956067323,0,100,0,0,0,0,0,0
"30",259000,1469000,1e+06,2.76,6.92,8.31572455167771,0,100,0,0,0,0,0,0
"31",269000,1469000,1e+06,2.57,6.46,7.762945137918,0,100,0,0,0,0,0,0
"32",279000,1469000,1e+06,9.97,24.98,30.0183236785233,0,100,0,0,0,0,0,0
"33",289000,1469000,1e+06,4.21,10.55,12.6778746433556,0,100,0,0,0,0,0,0
"34",299000,1469000,997886.74,1.87,4.71,3.64482517167926,0,100,0,0,0,0,0,0
"35",309000,1469000,999388.51,563.14,1409.6,1041.70705710724,0,96,4,0,0,0,0,0
"36",319000,1469000,993677.15,3795.14,11923.57,11542.4482309371,0,80,14,6,0,0,0,0
"37",239000,1459000,998202.32,13.8,34.63,38.083829537034,0,100,0,0,0,0,0,0
"38",249000,1459000,1e+06,11.71,29.39,35.3177955560386,0,100,0,0,0,0,0,0
"39",259000,1459000,1e+06,5.56,13.93,16.7396014966071,0,100,0,0,0,0,0,0
"40",269000,1459000,1e+06,3.23,8.1,9.73372357338667,0,100,0,0,0,0,0,0
"41",279000,1459000,1e+06,3.79,9.51,11.4281126782298,0,100,0,0,0,0,0,0
"42",289000,1459000,1e+06,4.22,10.59,12.7259426563978,0,100,0,0,0,0,0,0
"43",299000,1459000,998339.8,18.45,46.29,36.9655419439077,0,100,0,0,0,0,0,0
"44",309000,1459000,1e+06,205.82,516.12,382.76143284142,0,100,0,0,0,0,0,0
"45",319000,1459000,1e+06,2543.45,8246.06,6115.38741355389,0,87,9,4,0,0,0,0
"46",329000,1459000,1e+06,8232.89,36045.48,26722.3576079793,0,77,14,0,3,3,0,3
"47",339000,1459000,972693.07,29359.01,164237.89,117138.268215201,0,65,13,5,4,0,4,9
"48",239000,1449000,999822.1,1.86,4.68,5.62392929568887,0,100,0,0,0,0,0,0
"49",249000,1449000,1e+06,0.29,0.73,0.877236843109131,0,100,0,0,0,0,0,0
"50",259000,1449000,1e+06,0.09,0.23,0.276389688253403,0,100,0,0,0,0,0,0
"51",269000,1449000,1e+06,2.6,6.54,7.85908063128591,0,100,0,0,0,0,0,0
"52",279000,1449000,1e+06,1.9,4.77,5.73208174481988,0,100,0,0,0,0,0,0
