"","x","y","land","built_s","built_v","pop","smod.10","smod.11","smod.12","smod.13","smod.21","smod.22","smod.23","smod.30","SCHOOLS"
"9201",-1342000,1560000,1e+06,907.92,2270.09,1080.55544875003,0,95,4,1,0,0,0,0,"0"
"9202",-1342000,1550000,1e+06,353.89,885.02,412.338757354766,0,96,4,0,0,0,0,0,"0"
"9203",-1332000,1550000,1e+06,2444.48,6112.33,2847.78937900625,0,79,21,0,0,0,0,0,"0"
"9204",-1322000,1550000,1e+06,3893.76,11294.2,5261.27704989351,0,83,14,3,0,0,0,0,"1"
"9205",-1312000,1550000,998190.82,543.54,1359.38,632.701521184296,0,96,4,0,0,0,0,0,"0"
"9206",-1302000,1550000,1e+06,13.06,32.74,19.3885674029589,0,100,0,0,0,0,0,0,"0"
"9207",-1292000,1550000,1e+06,2638.09,6597.1,3919.45208863541,0,76,22,2,0,0,0,0,"1"
"9208",-1342000,1540000,1e+06,1682.71,4207.71,1981.59364976361,0,89,11,0,0,0,0,0,"0"
"9209",-1332000,1540000,1e+06,5686.88,14219.72,6695.49749021232,0,75,19,6,0,0,0,0,"1"
"9210",-1322000,1540000,1e+06,3731.28,9329.63,4346.75830405951,0,84,13,3,0,0,0,0,"0"
"9211",-1312000,1540000,998716.45,32136.76,166607.05,40064.0778098879,0,56,27,0,9,0,8,0,"1"
"9212",-1302000,1540000,998290.17,1328.73,3323.71,1648.51404329296,0,86,14,0,0,0,0,0,"0"
"9213",-1272000,1540000,1e+06,764.98,1914.09,1958.18936762586,0,92,8,0,0,0,0,0,"0"
"9214",-1342000,1530000,1e+06,8052.34,20388.7,9634.44194359146,0,65,26,3,6,0,0,0,"0"
"9215",-1332000,1530000,1e+06,12278.32,51633.9,24486.7855003327,0,66,22,6,3,0,3,0,"1"
"9216",-1322000,1530000,1e+06,5329.69,15691.57,8088.87018416077,0,82,12,6,0,0,0,0,"0"
"9217",-1312000,1530000,1e+06,4043.99,10111.94,5068.12380312849,0,78,18,4,0,0,0,0,"0"
"9218",-1302000,1530000,996294.49,506.96,1268.32,735.265537593514,0,96,4,0,0,0,0,0,"0"
"9219",-1292000,1530000,1e+06,69.88,174.85,111.348643576726,0,100,0,0,0,0,0,0,"0"
"9220",-1282000,1530000,1e+06,1179.67,2950.15,2992.61199774779,0,90,9,1,0,0,0,0,"1"
"9221",-1272000,1530000,1e+06,780.24,1952.24,1980.67601291649,0,91,9,0,0,0,0,0,"0"
"9222",-1262000,1530000,1e+06,1060.76,2653.22,2336.85534448363,0,86,14,0,0,0,0,0,"0"
"9223",-1252000,1530000,999748.33,482.57,1207.04,1176.01778793521,0,93,7,0,0,0,0,0,"0"
"9224",-1142000,1530000,998445.58,42.98,107.52,93.7270328514277,0,99,1,0,0,0,0,0,"0"
"9225",-1132000,1530000,997744.07,821.95,2055.43,2611.86757794395,0,94,4,2,0,0,0,0,"0"
"9226",-912000,1530000,998107.74,205.52,513.92,316.084226522595,0,97,3,0,0,0,0,0,"0"
"9227",-902000,1530000,999625.62,127.18,318.02,195.596795260906,0,99,1,0,0,0,0,0,"0"
"9228",-1342000,1520000,997908.05,2687.63,6720.43,3176.32807898987,0,82,18,0,0,0,0,0,"0"
