"","id","NUMPOINTS","ID","land","pop","built_s","built_v","smod.10","smod.11","smod.12","smod.13","smod.21","smod.22","smod.23","smod.30","x","y"
"1",1,0,1,524786.59,3139.73477083445,590.71,590.71,43,40,15,2,0,0,0,0,-4880869.97597281,-134741.256536998
"2",2,0,2,0,0,0,0,100,0,0,0,0,0,0,0,-4880869.97597281,-144741.256536998
"3",3,0,3,0,0,0,0,100,0,0,0,0,0,0,0,-4880869.97597281,-154741.256536998
"4",4,0,4,0,0,0,0,100,0,0,0,0,0,0,0,-4880869.97597281,-164741.256536998
"5",5,0,5,429793.63,2943.38554523885,833.27,833.27,50,30,17,3,0,0,0,0,-4880869.97597281,-174741.256536998
"6",6,0,6,883490.89,85349.2138293833,44200.18,44200.18,4,50,15,1,13,0,17,0,-4880869.97597281,-184741.256536998
"7",7,0,7,982428.76,4107.68608281016,3603.27,3603.27,0,90,8,0,1,0,1,0,-4880869.97597281,-194741.256536998
"8",8,0,8,999911.1,1651.96315705311,1359.15,1359.15,0,88,12,0,0,0,0,0,-4880869.97597281,-204741.256536998
"9",9,0,9,999987.41,3059.80483567715,1355.26,1355.26,0,84,16,0,0,0,0,0,-4880869.97597281,-214741.256536998
"10",10,0,10,942673.95,928.944271035492,328.2,328.2,1,91,8,0,0,0,0,0,-4880869.97597281,-224741.256536998
"11",11,0,11,999995.99,1594.58881506324,723.95,723.95,0,92,8,0,0,0,0,0,-4880869.97597281,-234741.256536998
"12",12,0,12,999971.8,2373.58645980246,1254.52,1254.52,0,82,18,0,0,0,0,0,-4880869.97597281,-244741.256536998
"13",13,0,13,999996.99,4726.66439592093,1717.47,1717.47,0,90,7,3,0,0,0,0,-4880869.97597281,-254741.256536998
"14",14,0,14,1e+06,240.08092084527,257.27,257.27,0,99,1,0,0,0,0,0,-4880869.97597281,-264741.256536998
"15",15,0,15,1e+06,47.4268953353167,24.82,24.82,0,100,0,0,0,0,0,0,-4880869.97597281,-274741.256536998
"16",16,0,16,995342.6,216.973892552778,104.56,104.56,0,98,2,0,0,0,0,0,-4880869.97597281,-284741.256536998
"17",17,0,17,987652.59,1232.62348854542,479.45,479.45,0,95,5,0,0,0,0,0,-4880869.97597281,-294741.256536998
"18",18,0,18,992822.93,87.99868208915,54.06,54.06,0,100,0,0,0,0,0,0,-4880869.97597281,-304741.256536998
"19",19,0,19,993588.63,74.1260268092155,389.48,389.48,0,99,1,0,0,0,0,0,-4880869.97597281,-314741.256536998
"20",20,0,20,999063.46,11.3317111991346,13.57,13.57,0,100,0,0,0,0,0,0,-4880869.97597281,-324741.256536998
"21",21,0,21,999999,148.056343019009,168.27,168.27,0,100,0,0,0,0,0,0,-4880869.97597281,-334741.256536998
"22",22,0,22,999997.99,224.073681481183,254.63,254.63,0,100,0,0,0,0,0,0,-4880869.97597281,-344741.256536998
"23",23,0,23,999980.89,113.386483982205,127.82,127.82,0,100,0,0,0,0,0,0,-4880869.97597281,-354741.256536998
"24",24,0,24,999694.26,133.906100213528,98.82,98.82,0,100,0,0,0,0,0,0,-4880869.97597281,-364741.256536998
"25",25,0,25,999763.62,101.039157576859,57.02,57.02,0,100,0,0,0,0,0,0,-4880869.97597281,-374741.256536998
"26",26,0,26,999621.47,231.752117425203,132.9,132.9,0,99,1,0,0,0,0,0,-4880869.97597281,-384741.256536998
"27",27,0,27,999990.94,176.198189154267,78.44,78.44,0,100,0,0,0,0,0,0,-4880869.97597281,-394741.256536998
"28",28,0,28,1e+06,0.0269320104271173,0.01,0.01,0,100,0,0,0,0,0,0,-4880869.97597281,-404741.256536998
"29",29,0,29,978151.12,2.29183393716812,3.07,3.07,0,100,0,0,0,0,0,0,-4880869.97597281,-414741.256536998
"30",30,0,30,997580.17,4.0062552690506,5.58,5.58,0,100,0,0,0,0,0,0,-4880869.97597281,-424741.256536998
"31",31,0,31,999949.77,3.35767817497253,4.68,4.68,0,100,0,0,0,0,0,0,-4880869.97597281,-434741.256536998
"32",32,0,32,999816.83,16.6850774288177,23.23,23.23,0,100,0,0,0,0,0,0,-4880869.97597281,-444741.256536998
"33",33,0,33,999096.25,0,0,0,0,100,0,0,0,0,0,0,-4880869.97597281,-454741.256536998
"34",34,0,34,991933.64,0,0,0,0,100,0,0,0,0,0,0,-4880869.97597281,-464741.256536998
"35",35,0,35,999982.83,3.94179344177246,6.33,6.33,0,100,0,0,0,0,0,0,-4880869.97597281,-474741.256536998
"36",36,0,36,1e+06,0,0,0,0,100,0,0,0,0,0,0,-4880869.97597281,-484741.256536998
"37",37,0,37,999991.99,3.04649662971497,4.9,4.9,0,100,0,0,0,0,0,0,-4880869.97597281,-494741.256536998
